Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
A0A090N8E9	unreviewed	A0A090N8E9_HUMAN	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	EZH2 tcag7.507	Homo sapiens (Human)	751	chromatin silencing complex [GO:0005677]; ESC/E(Z) complex [GO:0035098]; nucleoplasm [GO:0005654]; pericentric heterochromatin [GO:0005721]; pronucleus [GO:0045120]; synapse [GO:0045202]; chromatin DNA binding [GO:0031490]; histone H3K27 trimethyltransferase activity [GO:0140951]; lncRNA binding [GO:0106222]; primary miRNA binding [GO:0070878]; ribonucleoprotein complex binding [GO:0043021]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; transcription corepressor activity [GO:0003714]; B cell differentiation [GO:0030183]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to trichostatin A [GO:0035984]; cerebellar cortex development [GO:0021695]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; facultative heterochromatin formation [GO:0140718]; G1 to G0 transition [GO:0070314]; G1/S transition of mitotic cell cycle [GO:0000082]; hepatocyte homeostasis [GO:0036333]; hippocampus development [GO:0021766]; keratinocyte differentiation [GO:0030216]; liver regeneration [GO:0097421]; methylation [GO:0032259]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of keratinocyte differentiation [GO:0045617]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of striated muscle cell differentiation [GO:0051154]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation by RNA polymerase II [GO:0034244]; positive regulation of dendrite development [GO:1900006]; protein localization to chromatin [GO:0071168]; protein modification process [GO:0036211]; regulation of cell population proliferation [GO:0042127]; regulation of circadian rhythm [GO:0042752]; regulation of gliogenesis [GO:0014013]; regulation of kidney development [GO:0090183]; response to estradiol [GO:0032355]; response to tetrachloromethane [GO:1904772]; rhythmic process [GO:0048511]; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration [GO:0014834]; stem cell differentiation [GO:0048863]; synaptic transmission, GABAergic [GO:0051932]
A0A0S2Z491	unreviewed	A0A0S2Z491_HUMAN	Nucleophosmin (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1	Homo sapiens (Human)	294	centrosome [GO:0005813]; cytosol [GO:0005829]; granular component [GO:0001652]; large ribosomal subunit [GO:0015934]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]; identical protein binding [GO:0042802]; rRNA binding [GO:0019843]; cell volume homeostasis [GO:0006884]; negative regulation of apoptotic process [GO:0043066]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of centrosome duplication [GO:0010825]; positive regulation of protein localization to nucleolus [GO:1904751]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-transcriptional regulation of gene expression [GO:0010608]; protein localization [GO:0008104]; protein stabilization [GO:0050821]; regulation of cell growth [GO:0001558]; regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043516]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]
A0A140VKC4	unreviewed	A0A140VKC4_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	MECP2 hCG_37678	Homo sapiens (Human)	498	cytosol [GO:0005829]; heterochromatin [GO:0000792]; nucleoplasm [GO:0005654]; postsynapse [GO:0098794]; double-stranded methylated DNA binding [GO:0010385]; histone reader activity [GO:0140566]; methyl-CpG binding [GO:0008327]; mRNA binding [GO:0003729]; promoter-specific chromatin binding [GO:1990841]; siRNA binding [GO:0035197]; transcription corepressor activity [GO:0003714]; adult locomotory behavior [GO:0008344]; behavioral fear response [GO:0001662]; biogenic amine metabolic process [GO:0006576]; cardiolipin metabolic process [GO:0032048]; catecholamine secretion [GO:0050432]; cerebellum development [GO:0021549]; dendrite development [GO:0016358]; excitatory postsynaptic potential [GO:0060079]; gene expression [GO:0010467]; genomic imprinting [GO:0071514]; glial cell proliferation [GO:0014009]; glucocorticoid metabolic process [GO:0008211]; glutamine metabolic process [GO:0006541]; heterochromatin formation [GO:0031507]; inositol metabolic process [GO:0006020]; long-term memory [GO:0007616]; long-term synaptic potentiation [GO:0060291]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of smooth muscle cell differentiation [GO:0051151]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system process involved in regulation of systemic arterial blood pressure [GO:0001976]; neuron maturation [GO:0042551]; Notch signaling pathway [GO:0007219]; phosphatidylcholine metabolic process [GO:0046470]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; proprioception [GO:0019230]; protein localization [GO:0008104]; regulation of respiratory gaseous exchange by nervous system process [GO:0002087]; respiratory gaseous exchange by respiratory system [GO:0007585]; response to hypoxia [GO:0001666]; response to other organism [GO:0051707]; sensory perception of pain [GO:0019233]; social behavior [GO:0035176]; startle response [GO:0001964]; synapse assembly [GO:0007416]; trans-synaptic signaling by BDNF [GO:0099191]; ventricular system development [GO:0021591]; visual learning [GO:0008542]
A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593	apolipoprotein B mRNA editing enzyme complex [GO:0030895]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; enzyme-substrate adaptor activity [GO:0140767]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; 3'-UTR-mediated mRNA stabilization [GO:0070935]; cytidine to uridine editing [GO:0016554]; hematopoietic progenitor cell differentiation [GO:0002244]; mRNA processing [GO:0006397]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]
A2A288	reviewed	ZC12D_HUMAN	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	ZC3H12D C6orf95 MCPIP4 TFL	Homo sapiens (Human)	527	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; mRNA binding [GO:0003729]; RNA endonuclease activity [GO:0004521]; zinc ion binding [GO:0008270]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; negative regulation of cell growth [GO:0030308]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	TYW5 C2orf60	Homo sapiens (Human)	315	cytoplasm [GO:0005737]; iron ion binding [GO:0005506]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity [GO:0102524]; wybutosine biosynthetic process [GO:0031591]
A4D1E9	reviewed	GTPBA_HUMAN	GTP-binding protein 10 (Protein obg homolog 2) (ObgH2)	GTPBP10 OBGH2 UG0751c10	Homo sapiens (Human)	387	chromosome [GO:0005694]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; ribosome biogenesis [GO:0042254]
A5YKK6	reviewed	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	CNOT1 CDC39 KIAA1007 NOT1 AD-005	Homo sapiens (Human)	2376	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; peroxisomal membrane [GO:0005778]; armadillo repeat domain binding [GO:0070016]; molecular adaptor activity [GO:0060090]; nuclear estrogen receptor binding [GO:0030331]; nuclear retinoic acid receptor binding [GO:0042974]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; miRNA-mediated post-transcriptional gene silencing [GO:0035195]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; regulation of stem cell population maintenance [GO:2000036]; trophectodermal cell differentiation [GO:0001829]
A6NDE4	reviewed	RBY1B_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B	Homo sapiens (Human)	496	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; male gonad development [GO:0008584]; mRNA processing [GO:0006397]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]
A6NGQ2	reviewed	OOEP_HUMAN	Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19)	OOEP C6orf156 KHDC2 OEP19	Homo sapiens (Human)	149	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic lattice [GO:0140095]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; subcortical maternal complex [GO:0106333]; RNA binding [GO:0003723]; structural constituent of cytoplasmic lattice [GO:0140094]; actin filament organization [GO:0007015]; embryonic pattern specification [GO:0009880]; establishment of spindle localization [GO:0051293]; establishment or maintenance of apical/basal cell polarity [GO:0035088]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of meiotic nuclear division [GO:0045836]; protein storage [GO:0140089]; regulation of cell division [GO:0051302]; regulation of establishment of protein localization [GO:0070201]; regulation of protein localization [GO:0032880]; replication fork processing [GO:0031297]
